item_id,dataset_name,subset_name,split_name,image_path,drive_path,latitude,longitude,tags,city,region,country,source_id,license,sha256,width,height,notes
im2gps3k_100_pilot_000121,im2gps3k,im2gps3k_100_pilot,pilot,/home/ubuntu/Geoshield-mllm/data/raw/im2gps3k_official/images/im2gps3ktest/1108236217_688d857d7c_1394_77235581@N00.jpg,,58.20312,-6.379559,,,,,1108236217_688d857d7c_1394_77235581@N00.jpg,,44e07fc67222aef4088422140dbe7b11c04b74aa6cf03ec0787258343b975181,,,
im2gps3k_100_pilot_000165,im2gps3k,im2gps3k_100_pilot,pilot,/home/ubuntu/Geoshield-mllm/data/raw/im2gps3k_official/images/im2gps3ktest/114868308_3bf8f90326_46_82927779@N00.jpg,,-24.74995,25.7944,,,,,114868308_3bf8f90326_46_82927779@N00.jpg,,02bc7fb777a2b98747948a63ee0d68fc455f3aa11135f64b575900bacd85a38d,,,
im2gps3k_100_pilot_000191,im2gps3k,im2gps3k_100_pilot,pilot,/home/ubuntu/Geoshield-mllm/data/raw/im2gps3k_official/images/im2gps3ktest/118549043_489c2a4b3e_56_41894197861@N01.jpg,,51.494583,-0.202045,,,,,118549043_489c2a4b3e_56_41894197861@N01.jpg,,c27d918d206adc7e7aedc66c52c18d4312d8ece85f4307f5e0d32eaeb4135ced,,,
im2gps3k_100_pilot_000242,im2gps3k,im2gps3k_100_pilot,pilot,/home/ubuntu/Geoshield-mllm/data/raw/im2gps3k_official/images/im2gps3ktest/1222747967_39c1091f85_1043_56945335@N00.jpg,,32.661673,51.678067,,,,,1222747967_39c1091f85_1043_56945335@N00.jpg,,b9eee50ccb541674cfb6324593f19ce652b24b163f7d0e9c58cb2ccdc2eb6b22,,,
im2gps3k_100_pilot_000243,im2gps3k,im2gps3k_100_pilot,pilot,/home/ubuntu/Geoshield-mllm/data/raw/im2gps3k_official/images/im2gps3ktest/1222946416_16db22f95d_1310_47311799@N00.jpg,,46.219128,6.107196,,,,,1222946416_16db22f95d_1310_47311799@N00.jpg,,82d9c93eec294bd58edad57a2f390fd2146f3e1fa6ff8b6bc61e30e085ec6eca,,,
im2gps3k_100_pilot_000279,im2gps3k,im2gps3k_100_pilot,pilot,/home/ubuntu/Geoshield-mllm/data/raw/im2gps3k_official/images/im2gps3ktest/1244438112_65fcf1bc8d_1256_70323761@N00.jpg,,41.470025,-71.29856,,,,,1244438112_65fcf1bc8d_1256_70323761@N00.jpg,,b8867868611c279dde60fb1343060692e39a337dd28a2c6b2099d4019400e4b0,,,
im2gps3k_100_pilot_000332,im2gps3k,im2gps3k_100_pilot,pilot,/home/ubuntu/Geoshield-mllm/data/raw/im2gps3k_official/images/im2gps3ktest/128003004_89a8cb6880_44_42485416@N00.jpg,,48.421155,-123.369963,,,,,128003004_89a8cb6880_44_42485416@N00.jpg,,34e06a437c5066e37481e9b510826cc668683a0668d1726df29eee657c6b65a2,,,
im2gps3k_100_pilot_000343,im2gps3k,im2gps3k_100_pilot,pilot,/home/ubuntu/Geoshield-mllm/data/raw/im2gps3k_official/images/im2gps3ktest/1286567787_c041916e0a_1075_77235581@N00.jpg,,58.20312,-6.379559,,,,,1286567787_c041916e0a_1075_77235581@N00.jpg,,bddb65d07b0bb126eccf604ea204f6489c39f7e6df97a20a303d25b6a16d9b5e,,,
im2gps3k_100_pilot_000376,im2gps3k,im2gps3k_100_pilot,pilot,/home/ubuntu/Geoshield-mllm/data/raw/im2gps3k_official/images/im2gps3ktest/1303949077_23dbb49738_1348_11786349@N08.jpg,,-34.620424,-58.369674,,,,,1303949077_23dbb49738_1348_11786349@N08.jpg,,be0fe1b961c369c8e4b7f67eb750ee0c25c501a34975b3611fefd27ad7654e0f,,,
im2gps3k_100_pilot_000435,im2gps3k,im2gps3k_100_pilot,pilot,/home/ubuntu/Geoshield-mllm/data/raw/im2gps3k_official/images/im2gps3ktest/136353845_74031b3ca1_44_70323761@N00.jpg,,38.881896,-77.041046,,,,,136353845_74031b3ca1_44_70323761@N00.jpg,,85c1f57e98d754d580add10c268056284ff94a84b72faff55bd75d7bcd8ca73e,,,
im2gps3k_100_pilot_000437,im2gps3k,im2gps3k_100_pilot,pilot,/home/ubuntu/Geoshield-mllm/data/raw/im2gps3k_official/images/im2gps3ktest/136358852_1838d2bb1f_38_70323761@N00.jpg,,36.412303,25.42983,,,,,136358852_1838d2bb1f_38_70323761@N00.jpg,,8d4af87e8f7ae993dd080e910de3bea0affc4b4b67d4cc7923c32c84c2d79035,,,
im2gps3k_100_pilot_000479,im2gps3k,im2gps3k_100_pilot,pilot,/home/ubuntu/Geoshield-mllm/data/raw/im2gps3k_official/images/im2gps3ktest/1407883917_e96b68342f_1021_11786349@N08.jpg,,-34.620424,-58.369674,,,,,1407883917_e96b68342f_1021_11786349@N08.jpg,,203e2ed6963d307eb6e917b2bc65f06ab5d5f35719da36899a995d2a9c318482,,,
im2gps3k_100_pilot_000498,im2gps3k,im2gps3k_100_pilot,pilot,/home/ubuntu/Geoshield-mllm/data/raw/im2gps3k_official/images/im2gps3ktest/1424280848_41d1636615_1343_96928198@N00.jpg,,59.671883,10.620775,,,,,1424280848_41d1636615_1343_96928198@N00.jpg,,aa0d0b646487883c67da6a0bac3e90d7e341b64912e84fc1718bc720cd465228,,,
im2gps3k_100_pilot_000503,im2gps3k,im2gps3k_100_pilot,pilot,/home/ubuntu/Geoshield-mllm/data/raw/im2gps3k_official/images/im2gps3ktest/1433405849_7eb435c131_1060_97522422@N00.jpg,,60.390748,5.321009,,,,,1433405849_7eb435c131_1060_97522422@N00.jpg,,c6cf94f4f06c94e0f8e7067ef6bdd0582b6be60a3e96791c197742a41c0129a9,,,
