item_id,dataset_name,subset_name,split_name,image_path,drive_path,latitude,longitude,tags,city,region,country,source_id,license,sha256,width,height,notes
im2gps3k_15_smoke_000001,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0001.jpg,,36.859948,-75.978484,,,,,im2gps3k-1439764921,,baec7136d6f50f84cc8f849fb22d2ba1022b0b18abb650f99ae1ebbf9fb9fc52,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
im2gps3k_15_smoke_000002,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0002.jpg,,38.34933,-75.070438,,,,,im2gps3k-170164345,,30d8189f8eb5beea0b448c5de7ffbba6000440e92677e71b90fa5b64aa152703,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
im2gps3k_15_smoke_000003,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0003.jpg,,39.93935,116.391841,,,,,im2gps3k-247024863,,bbda50400c32fa2b35ccd5064d11470c684e8a114443e154f5f9becf981f205d,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
im2gps3k_15_smoke_000004,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0004.jpg,,32.845269,-117.273988,,,,,im2gps3k-265352838,,f94fced91e2193cc92b72e53690083984c9f46aaf28dfbee9bb3662b29c68d0c,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
im2gps3k_15_smoke_000005,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0005.jpg,,31.238637,121.448364,,,,,im2gps3k-324342504,,138e12b1813b4efeb535e6703bc2498e9b8995e917ede9c1a7086856a4abaf35,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
im2gps3k_15_smoke_000006,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0006.jpg,,49.34411,-123.018078,,,,,im2gps3k-391845821,,b9d8b2d2cc12045dcb1a2ba10595ca2eaa3765520d75c306d1d43d104085d96d,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
im2gps3k_15_smoke_000007,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0007.jpg,,-13.524847,-71.973323,,,,,im2gps3k-446961808,,4bb5d749a2a9e38cd593a03dbeba734e6c299ab62b24d78bf25377d074de04d4,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
im2gps3k_15_smoke_000008,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0008.jpg,,31.776683,35.23428,,,,,im2gps3k-499799081,,796d21bb1b91ef8f3855a04632baeeabff6724703cac119c778f61185d517116,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
im2gps3k_15_smoke_000009,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0009.jpg,,36.820278,138.946838,,,,,im2gps3k-94108900,,c8fca2ae13e745b627d56f18d75a52d8d6dbe7506b933cca0a06fb7646401c64,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
im2gps3k_15_smoke_000010,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0010.jpg,,41.395354,2.169113,,,,,im2gps3k-97344146,,503866343e6c44172c35e34c086983489ba344dfd632575c12804ebc6c6ab941,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
im2gps3k_15_smoke_000011,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0011.jpg,,10.573547,103.553009,,,,,im2gps3k-1242046453,,3efa83fad939397627c3ccac9fefd8cb28d0b7db552700689d61fc1a8928d0d0,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
im2gps3k_15_smoke_000012,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0012.jpg,,30.050447,31.235675,,,,,im2gps3k-1289357310,,2a2412dd0fba7db6a4789bb65b6f5c85117a736644fb43d69c510e172fca2547,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
im2gps3k_15_smoke_000013,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0013.jpg,,48.854875,2.347383,,,,,im2gps3k-1301398204,,e2b79f8f2e2ed54b76a66982f68014cd389b3ad1aa69e3c52e28a6af7f547309,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
im2gps3k_15_smoke_000014,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0014.jpg,,48.852863,2.339122,,,,,im2gps3k-1386768513,,18996dfe475c78553c97a2b9c1bd1d70677819b55d02a42d87e0c3736c07ead7,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
im2gps3k_15_smoke_000015,im2gps3k,im2gps3k_15_smoke,smoke,/home/ubuntu/Geoshield/outputs/geoshield_repro30_paper_e8_s200_640/source_images/im2gps3k/im2gps3k_0015.jpg,,51.480941,-3.182559,,,,,im2gps3k-1388076875,,1907275d13507ac269779c4991041eb2ebb549f0f4b24cbbea8ee7c897eaeb78,,,streamed from Hugging Face dataset introvoyz041/VLM-GeoPrivacyBench
